model,description,mae,rmse,r2,cv,features,n_features,multi,poly,poly_dreg,log,minmax,standard,pca,pca_per,interval,date
randomforest_reg,tree500maxLeafNode16,12.17,16.13,24.65,10,Age-Cervical-Weight-Height-BMI-Gender_hombre-Gender_mujer-Smoker_antiguo-Smoker_no-Smoker_ns-Smoker_si-Snorer_CPAP-Snorer_no-Snorer_ns-Snorer_si-Illness_no-Illness_ns-Illness_si,18,True,False,2,False,False,False,False,0.8,4.1396,2019-10-29_13:31:10
adaboost_reg,tree300lossSquarelr01,15.64,18.84,-2.84,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.3631,2019-10-29_13:40:59
adaboost_reg,tree300lossLinearlr01,14.34,17.84,7.87,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.2201,2019-10-29_13:41:15
adaboost_reg,tree300lossExponentiallr01,18.47,21.45,-33.21,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,2.8816,2019-10-29_13:42:03
gradientboost_reg,tree300maxDepth2,12.76,17.15,14.86,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.6347,2019-10-29_13:51:05
gradientboost_reg,tree100maxDepth2,12.44,16.56,20.58,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.2295,2019-10-29_13:51:17
xgboost_reg,tree50maxDepth3lr005,11.84,16.27,23.38,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0996,2019-10-29_13:55:28
xgboost_reg,tree100maxDepth3lr005,12.2,16.38,22.27,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.1544,2019-10-29_13:55:41
xgboost_reg,tree100maxDepth3lr05,14.33,19.34,-8.36,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.1554,2019-10-29_13:56:41
svr_linear_reg,epsilon01C10,12.07,16.89,17.4,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,True,False,0.8,0.1254,2019-10-29_15:22:44
svr_linear_reg,epsilon05C10,12.16,16.6,20.16,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,True,False,0.8,0.1313,2019-10-29_15:22:56
svr_linear_reg,epsilon1C10,13.55,16.93,17.03,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,True,False,0.8,0.0871,2019-10-29_15:23:13
svr_reg,kernelPoly2ep1C10,12.95,17.37,12.6,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,True,False,0.8,0.2103,2019-10-29_15:29:50
svr_reg,kernelrbfep1C10,12.91,17.52,11.09,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,True,False,0.8,0.1511,2019-10-29_15:33:17
svr_reg,kernelPoly3ep1C10,13.3,18.76,-1.94,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,True,False,0.8,0.4919,2019-10-29_15:35:54
mlp_reg,hidlay100actReluSolverAdam,12.49,16.59,20.26,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,True,False,False,0.8,0.7864,2019-10-29_16:00:22
mlp_reg,hidlay100actReluSolverSGD,14.3,18.2,4.04,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,True,False,False,0.8,0.5708,2019-10-29_16:00:43
mlp_reg,hidlay100actLogisticSolverAdam,13.58,17.5,11.33,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,True,False,False,0.8,1.2195,2019-10-29_16:03:23
mlp_reg,hidlay50actReluSolverAdam,12.97,16.89,17.41,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,True,False,False,0.8,0.8364,2019-10-29_16:04:17
mlp_reg,hidlay30-10actReluSolverAdam,12.74,16.88,17.49,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,True,False,False,0.8,0.4246,2019-10-29_16:06:07
sgd_reg,lossSquaredRegL2,13.38,17.34,12.89,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,True,False,False,0.8,0.0145,2019-10-29_16:14:06
sgd_reg,lossEpsilonRegL2,12.54,16.87,17.58,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,True,False,False,0.8,0.0103,2019-10-29_16:17:56
sgd_reg,lossEpsilonRegL2,13.0,17.98,6.34,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,True,False,False,0.8,0.0115,2019-10-29_16:18:15
